temperature,humidity,ph,ec,label,ec_source,source_dataset
21.91,73.35,6.04,1.925,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.6,60.83,7.06,1.151,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.78,70.59,7.08,2.42,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.5,62.4,6.27,1.88,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.61,64.0,6.13,0.774,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.81,71.27,6.6,1.788,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.05,70.94,7.03,1.204,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.59,68.65,6.82,1.707,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.23,49.85,6.31,2.072,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.98,58.72,6.85,1.703,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.61,49.8,7.12,0.572,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.88,60.96,6.45,0.916,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.38,70.9,6.5,2.05,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.33,51.73,6.55,0.923,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.61,67.9,6.65,1.524,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.99,53.76,6.52,0.343,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.96,61.77,6.87,2.323,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.5,67.99,7.33,1.31,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.98,60.69,7.25,0.44,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.7,57.59,7.1,0.408,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.53,68.13,7.31,1.004,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.78,55.09,6.21,1.098,Blé,synthetic_catalog,ml_model.rules.crop_catalog
25.18,72.03,6.88,1.943,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.08,69.04,7.3,0.62,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.23,62.77,6.52,2.435,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.71,55.92,6.85,1.297,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.11,71.93,7.11,0.524,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.71,63.29,7.42,2.309,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.69,52.83,6.83,1.503,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.87,70.25,6.11,1.861,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.46,76.12,6.55,1.559,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.24,53.72,7.46,0.324,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.84,57.27,7.42,0.844,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.96,51.85,6.12,1.778,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.22,70.43,6.06,0.899,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.55,59.86,6.25,0.358,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.73,70.35,7.22,1.654,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.14,65.8,6.68,1.695,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.99,63.88,6.62,0.948,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.59,74.89,6.82,1.571,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.19,63.45,6.51,0.728,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.66,66.86,7.15,2.347,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.17,66.12,7.11,0.685,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.2,65.34,6.72,1.99,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.27,74.46,6.29,1.781,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.39,58.81,7.17,1.026,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.88,71.29,6.69,1.406,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.48,62.07,7.14,0.659,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.77,63.79,6.12,1.998,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.95,58.6,7.06,2.498,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.21,52.94,6.15,0.21,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.59,54.17,6.96,0.279,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.02,51.3,6.15,2.35,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.04,49.46,6.18,1.921,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.04,66.59,6.47,2.344,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.71,50.8,7.14,0.368,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.28,69.22,6.89,2.348,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.63,68.46,6.21,1.285,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.25,59.1,6.67,1.685,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.82,62.47,6.03,1.379,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.0,66.98,7.03,2.096,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.32,59.46,7.11,2.314,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.58,56.16,6.79,0.453,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.33,57.74,6.32,0.075,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.66,52.4,5.94,2.598,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.27,64.07,6.59,0.288,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.79,55.94,7.41,2.237,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.54,62.72,7.15,1.251,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.45,47.98,6.39,1.357,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.49,71.59,6.95,1.971,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.23,59.23,6.75,2.153,Blé,synthetic_catalog,ml_model.rules.crop_catalog
